Date,State,StateAbbreviation,AverageWildfireSize,NumberOfWildfires
1992-01-01,Alaska,AK,0.0,0
1992-02-01,Alaska,AK,0.0,0
1992-03-01,Alaska,AK,0.0,0
1992-04-01,Alaska,AK,0.505,20
1992-05-01,Alaska,AK,27.625,156
1992-06-01,Alaska,AK,680.792125984252,127
1992-07-01,Alaska,AK,462.652380952381,105
1992-08-01,Alaska,AK,87.4157894736842,38
1992-09-01,Alaska,AK,1.27857142857143,28
1992-10-01,Alaska,AK,0.157142857142857,7
1992-11-01,Alaska,AK,0.0,0
1992-12-01,Alaska,AK,0.0,0
1993-01-01,Alaska,AK,0.0,0
1993-02-01,Alaska,AK,0.0,0
1993-03-01,Alaska,AK,0.0,0
1993-04-01,Alaska,AK,4.540625,32
1993-05-01,Alaska,AK,26.8716981132075,159
1993-06-01,Alaska,AK,835.193670886076,237
1993-07-01,Alaska,AK,1570.34025974026,308
1993-08-01,Alaska,AK,11.5277227722772,101
1993-09-01,Alaska,AK,0.152173913043478,23
1993-10-01,Alaska,AK,0.1,1
1993-11-01,Alaska,AK,0.0,0
1993-12-01,Alaska,AK,0.0,0
1994-01-01,Alaska,AK,0.0,0
1994-02-01,Alaska,AK,0.0,0
1994-03-01,Alaska,AK,100.05,2
1994-04-01,Alaska,AK,0.489473684210526,19
1994-05-01,Alaska,AK,9.01127819548872,133
1994-06-01,Alaska,AK,1031.02625698324,179
1994-07-01,Alaska,AK,356.362676056338,142
1994-08-01,Alaska,AK,215.958035714286,112
1994-09-01,Alaska,AK,4.79090909090909,44
1994-10-01,Alaska,AK,111.3,9
1994-11-01,Alaska,AK,0.0,0
1994-12-01,Alaska,AK,0.0,0
1995-01-01,Alaska,AK,0.0,0
1995-02-01,Alaska,AK,0.0,0
1995-03-01,Alaska,AK,1.05,2
1995-04-01,Alaska,AK,11.9225352112676,71
1995-05-01,Alaska,AK,65.7,144
1995-06-01,Alaska,AK,52.5157407407407,108
1995-07-01,Alaska,AK,546.827450980392,51
1995-08-01,Alaska,AK,0.21875,16
1995-09-01,Alaska,AK,0.94,20
1995-10-01,Alaska,AK,23.4,3
1995-11-01,Alaska,AK,0.0,0
1995-12-01,Alaska,AK,0.1,3
1996-01-01,Alaska,AK,0.0,0
1996-02-01,Alaska,AK,0.0,0
1996-03-01,Alaska,AK,1.25,2
1996-04-01,Alaska,AK,4.40212765957447,47
1996-05-01,Alaska,AK,338.29197080292,274
1996-06-01,Alaska,AK,2177.46926829268,205
1996-07-01,Alaska,AK,488.875652173913,115
1996-08-01,Alaska,AK,1.0037037037037,27
1996-09-01,Alaska,AK,0.423529411764706,34
1996-10-01,Alaska,AK,232.314285714286,14
1996-11-01,Alaska,AK,0.0,0
1996-12-01,Alaska,AK,0.0,0
1997-01-01,Alaska,AK,0.0,0
1997-02-01,Alaska,AK,0.0,0
1997-03-01,Alaska,AK,37.8125,8
1997-04-01,Alaska,AK,248.163157894737,57
1997-05-01,Alaska,AK,2.70778443113772,167
1997-06-01,Alaska,AK,7967.93482587065,201
1997-07-01,Alaska,AK,1815.20089686099,223
1997-08-01,Alaska,AK,115.123255813953,43
1997-09-01,Alaska,AK,0.188888888888889,18
1997-10-01,Alaska,AK,2.0,3
1997-11-01,Alaska,AK,0.1,1
1997-12-01,Alaska,AK,0.0,0
1998-01-01,Alaska,AK,0.0,0
1998-02-01,Alaska,AK,4.3,1
1998-03-01,Alaska,AK,0.3,2
1998-04-01,Alaska,AK,5.3031914893617,94
1998-05-01,Alaska,AK,473.739130434783,115
1998-06-01,Alaska,AK,396.9275,80
1998-07-01,Alaska,AK,530.7109375,64
1998-08-01,Alaska,AK,2.48333333333333,30
1998-09-01,Alaska,AK,0.168421052631579,19
1998-10-01,Alaska,AK,0.433333333333333,3
1998-11-01,Alaska,AK,0.0,0
1998-12-01,Alaska,AK,0.0,0
1999-01-01,Alaska,AK,0.0,0
1999-02-01,Alaska,AK,0.0,0
1999-03-01,Alaska,AK,0.1,1
1999-04-01,Alaska,AK,14.0648645945946,37
1999-05-01,Alaska,AK,6.85614035087719,114
1999-06-01,Alaska,AK,5108.34581005587,179
1999-07-01,Alaska,AK,703.95390625,128
1999-08-01,Alaska,AK,0.218181818181818,11
1999-09-01,Alaska,AK,3.47272727272727,11
1999-10-01,Alaska,AK,1.0,1
1999-11-01,Alaska,AK,0.0,0
1999-12-01,Alaska,AK,0.0,0
2000-01-01,Alaska,AK,0.0,0
2000-02-01,Alaska,AK,0.0,0
2000-03-01,Alaska,AK,0.0,0
2000-04-01,Alaska,AK,2.56,15
2000-05-01,Alaska,AK,9.90655737704918,122
2000-06-01,Alaska,AK,4765.18967741935,155
