Date,State,StateAbbreviation,NumberOfFloods
2006-01-01,Alaska,AK,0
2006-02-01,Alaska,AK,0
2006-03-01,Alaska,AK,0
2006-04-01,Alaska,AK,0
2006-05-01,Alaska,AK,0
2006-06-01,Alaska,AK,0
2006-07-01,Alaska,AK,0
2006-08-01,Alaska,AK,0
2006-09-01,Alaska,AK,0
2006-10-01,Alaska,AK,8
2006-11-01,Alaska,AK,0
2006-12-01,Alaska,AK,0
2007-01-01,Alaska,AK,1
2007-02-01,Alaska,AK,2
2007-03-01,Alaska,AK,1
2007-04-01,Alaska,AK,0
2007-05-01,Alaska,AK,0
2007-06-01,Alaska,AK,0
2007-07-01,Alaska,AK,0
2007-08-01,Alaska,AK,0
2007-09-01,Alaska,AK,3
2007-10-01,Alaska,AK,0
2007-11-01,Alaska,AK,0
2007-12-01,Alaska,AK,1
2008-01-01,Alaska,AK,0
2008-02-01,Alaska,AK,0
2008-03-01,Alaska,AK,0
2008-04-01,Alaska,AK,0
2008-05-01,Alaska,AK,6
2008-06-01,Alaska,AK,0
2008-07-01,Alaska,AK,13
2008-08-01,Alaska,AK,6
2008-09-01,Alaska,AK,0
2008-10-01,Alaska,AK,0
2008-11-01,Alaska,AK,0
2008-12-01,Alaska,AK,0
2009-01-01,Alaska,AK,1
2009-02-01,Alaska,AK,1
2009-03-01,Alaska,AK,0
2009-04-01,Alaska,AK,3
2009-05-01,Alaska,AK,31
2009-06-01,Alaska,AK,0
2009-07-01,Alaska,AK,1
2009-08-01,Alaska,AK,2
2009-09-01,Alaska,AK,0
2009-10-01,Alaska,AK,1
2009-11-01,Alaska,AK,6
2009-12-01,Alaska,AK,0
2010-01-01,Alaska,AK,0
2010-02-01,Alaska,AK,0
2010-03-01,Alaska,AK,0
2010-04-01,Alaska,AK,0
2010-05-01,Alaska,AK,2
2010-06-01,Alaska,AK,1
2010-07-01,Alaska,AK,2
2010-08-01,Alaska,AK,3
2010-09-01,Alaska,AK,1
2010-10-01,Alaska,AK,1
2010-11-01,Alaska,AK,0
2010-12-01,Alaska,AK,0
2011-01-01,Alaska,AK,0
2011-02-01,Alaska,AK,3
2011-03-01,Alaska,AK,0
2011-04-01,Alaska,AK,0
2011-05-01,Alaska,AK,4
2011-06-01,Alaska,AK,0
2011-07-01,Alaska,AK,1
2011-08-01,Alaska,AK,1
2011-09-01,Alaska,AK,1
2011-10-01,Alaska,AK,0
2011-11-01,Alaska,AK,8
2011-12-01,Alaska,AK,0
2012-01-01,Alaska,AK,0
2012-02-01,Alaska,AK,0
2012-03-01,Alaska,AK,0
2012-04-01,Alaska,AK,3
2012-05-01,Alaska,AK,7
2012-06-01,Alaska,AK,1
2012-07-01,Alaska,AK,0
2012-08-01,Alaska,AK,4
