EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9990191,SAN DIEGO CO., ,01/14/1990,330,Tornado,0,F0,0,0,250000,0,CA,PST, , ,C,73, ,0,0, , ,.1,10,0, ,0, , ,01/14/1990,330,32.75,-117.10, , ,"","",1
9990192,LOS ANGELES CO., ,01/16/1990,2320,Tornado,0,F0,0,0,0,0,CA,CST, , ,C,37, ,0,0, , ,.2,33,0, ,0, , ,01/16/1990,2320,33.95,-118.05, , ,"","",2
10138331,DALLAS CO., ,01/19/1990,1130,Tornado,0,F2,0,1,2500000,0,TX,CST, , ,C,113, ,0,0, , ,.8,50,0, ,0, , ,01/19/1990,1130,32.92,-96.63, , ,"","",3
10138333,TRINITY CO., ,01/19/1990,1540,Tornado,0,F3,0,0,2500000,0,TX,CST, , ,C,455, ,0,0, , ,5,100,0, ,0, , ,01/19/1990,1540,31.22,-94.95,31.27,-94.90,"","",4
10138334,ANGELINA CO., ,01/19/1990,1548,Tornado,0,F3,0,2,2500000,0,TX,CST, , ,C,5, ,0,0, , ,8,100,0, ,0, , ,01/19/1990,1548,31.27,-94.90,31.35,-94.83,"","",5
10139115,SAN AUGUSTINE CO., ,01/19/1990,1810,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,405, ,0,0, , ,.2,10,0, ,0, , ,01/19/1990,1810,31.15,-94.10, , ,"","",6
10045616,ACADIA PAR., ,01/24/1990,1000,Tornado,0,F0,0,0,2500,0,LA,CST, , ,C,1, ,0,0, , ,.2,27,0, ,0, , ,01/24/1990,1000,30.42,-92.32, , ,"","",7
9980264,CRENSHAW CO., ,01/25/1990,550,Tornado,0,F1,0,28,2500000,0,AL,CST, , ,C,41, ,0,0, , ,8,73,0, ,0, , ,01/25/1990,550,31.78,-86.35,31.88,-86.20,"","",8
9995045,LEE CO., ,01/25/1990,1215,Tornado,0,F0,0,0,25000,0,GA,EST, , ,C,177, ,0,0, , ,.5,33,0, ,0, , ,01/25/1990,1215,31.67,-84.17, , ,"","",9
9995050,RICHMOND CO., ,01/29/1990,1543,Tornado,0,F2,0,6,250000,0,GA,EST, , ,C,245, ,0,0, , ,.9,100,0, ,0, , ,01/29/1990,1543,33.33,-82.18, , ,"","",10
10087802,NORTHAMPTON CO., ,01/29/1990,1950,Tornado,0,F0,0,0,25000,0,NC,EST, , ,C,131, ,0,0, , ,.7,100,0, ,0, , ,01/29/1990,1950,36.52,-77.75, , ,"","",11
10081357,CLARK CO., ,01/30/1990,1620,Tornado,0,F0,0,0,0,0,NV,PST, , ,C,3, ,0,0, , ,.2,10,0, ,0, , ,01/30/1990,1620,36.17,-114.70, , ,"","",12
