EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5563647,PALM BEACH CO.,JUPITER INLET COLONY,09/02/1996,800,Storm Surge/Tide, , ,0,0,0,0,FL,EST, ,2048422,C,99,MFL,0,0, , , , , , , , ,JUPITER INLET COLONY,09/02/1996,800, , , , ,"","LARGE SWELLS FROM HURRICANE FRAN KNOCKED 5 PEOPLE OUT OF AN 18 FOOT
FISHING BOAT IN JUPITER INLET.",1
5572005,ARLINGTON CO.,ALONG POTOMAC RIVER,09/06/1996,900,Storm Surge/Tide, , ,0,0,500000,0,VA,EST, ,2049793,C,13,LWX,0,0, , , , , , , , ,ALONG POTOMAC RIVER,09/06/1996,1700, , , , ,"","",2
5572009,STAFFORD CO.,ALONG POTOMAC RIVER,09/06/1996,900,Storm Surge/Tide, , ,0,0,250000,0,VA,EST, ,1023943,C,179,LWX,0,0, , , , , , , , ,ALONG POTOMAC RIVER,09/06/1996,1700, , , , ,"","The track of Tropical Storm Fran from south-central through western Virginia allowed gusty southeast winds at and just above the surface to channel water up the Chesapeake Bay and its main tributaries.  This became a small-scale storm surge, containing 6 foot waves and tides which ran in some places nearly 6 feet above normal.  In Alexandria (Fairfax/Arlington Co), water rose to 5 feet deep in the Old Town district, flooding numerous shopts, restaurants, and publs.  Fortunately, many shop owners had moved valuable merchandise to higher locations prior to the surge, minimizing property damage.

Farther south, the pounding waves and above normal tides caused damage to piers, marinas, and some residences in Prince William, Stafford, and King George Counties.  Along the tidal Potomac River, a storm surge of at least 6 feet piled up water in the Occoquan Bay, eventually flooding numerous homes in Occoquan and Woodbridge.  In Stafford Co, the surge caused substantial boat and pier damage near Aquia Creek, and a picnic area was flooded at Quantico.  Major damage was also sustained in King George Co north of Colonial Beach.",3
5572008,PRINCE WILLIAM CO.,ALONG POTOMAC RIVER,09/06/1996,900,Storm Surge/Tide, , ,0,0,500000,0,VA,EST, ,2049796,C,153,LWX,0,0, , , , , , , , ,ALONG POTOMAC RIVER,09/06/1996,1700, , , , ,"","",4
5572007,KING GEORGE CO.,ALONG POTOMAC RIVER,09/06/1996,900,Storm Surge/Tide, , ,0,0,250000,0,VA,EST, ,2049795,C,99,LWX,0,0, , , , , , , , ,ALONG POTOMAC RIVER,09/06/1996,1700, , , , ,"","",5
5572006,FAIRFAX CO.,ALONG POTOMAC RIVER,09/06/1996,900,Storm Surge/Tide, , ,0,0,250000,0,VA,EST, ,2049794,C,59,LWX,0,0, , , , , , , , ,ALONG POTOMAC RIVER,09/06/1996,1700, , , , ,"","",6
5572208,ANNE ARUNDEL CO.,ALONG THE CHESAPEAKE,09/06/1996,1000,Storm Surge/Tide, , ,0,0,1400000,0,MD,EST, ,1023962,C,3,LWX,0,0, , , , , , , , ,ALONG THE CHESAPEAKE,09/06/1996,1700, , , , ,"","",7
5572212,ST. MARY'S CO.,ALONG THE CHESAPEAKE,09/06/1996,1000,Storm Surge/Tide, , ,0,0,100000,0,MD,EST, ,1023966,C,37,LWX,0,0, , , , , , , , ,ALONG THE CHESAPEAKE,09/06/1996,1700, , , , ,"","The track of Tropical Storm Fran from south-central through western Virginia allowed gusty southeast winds at and just above the surface to channel water up the Chesapeake Bay and its main tributaries.  This became a small-scale storm surge, containing 6 foot waves and tides which ran in some places nearly 6 feet above normal.

Damage was fairly heavy along the immediate shore of the Chesapeake Bay and tidal Potomac River in Charles, St Mary's, Calvert, and Anne Arundel Counties.  In Charles Co, property damage was estimated at $1.6 million with Cobb Island suffering substantial losses.  Approximately 75 homes were flooded; between 100 and 200 piers and bulkheads were damaged or destroyed.  Affected Charles Co residents believed this to be a flood of memory rivaling that of Hurricane Hazel in 1954.  Substantial damage was also noted at newly developed land along the shore in northern Calvert and southern Anne Arundel Counties (North Beach/Chesapeake Beach).  In all, $1.4 million in damage was incurred in Anne Arundel Co, including 83 homes, 7 commercial properties, and a total of 100 bulkheads and piers.  Twenty homes were flooded along the northern Calvert Co shoreline.  Farther north, in southeastern Baltimore Co, 100 people were evacuated in the Bowley's Quarter area.

Damage was notable but substantially less in St Mary's Co where coastal residential and business development lags.",8
5572211,CHARLES CO.,ALONG THE POTOMAC,09/06/1996,1000,Storm Surge/Tide, , ,0,0,1600000,5000,MD,EST, ,2049816,C,17,LWX,0,0, , , , , , , , ,ALONG THE POTOMAC,09/06/1996,1700, , , , ,"","",9
5572210,CALVERT CO.,ALONG THE CHESAPEAKE,09/06/1996,1000,Storm Surge/Tide, , ,0,0,750000,0,MD,EST, ,2049815,C,9,LWX,0,0, , , , , , , , ,ALONG THE CHESAPEAKE,09/06/1996,1700, , , , ,"","",10
5572209,BALTIMORE CO.,ALONG THE CHESAPEAKE,09/06/1996,1000,Storm Surge/Tide, , ,0,0,250000,0,MD,EST, ,2049814,C,5,LWX,0,0, , , , , , , , ,ALONG THE CHESAPEAKE,09/06/1996,1700, , , , ,"","",11
